S.N,Institute Name,District,Quota,Approved,Program
1,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),30,30,Diagnostic Radiography (21)
2,"Kantipur Institute of Health Science, Pokhara",Kaski,30,11,Diagnostic Radiography (21)
3,"Regional College of Health Science and Technology, Pokhara",Kaski,30,30,Diagnostic Radiography (21)
1,"Bandipur Technical Institute, Bandipur",Tanahun,40,23,General Medicine (03)
2,"Charak Institute of Health Science, Pokhara",Kaski,40,40,General Medicine (03)
3,Dhaulagiri Prabidhik Shikshya Pratisthan,Baglung,40,40,General Medicine (03)
4,"Gandaki Technical Institute, Pokhara",Kaski,40,40,General Medicine (03)
5,"Gandaki Technical Training Center, Damauli",Tanahun,40,40,General Medicine (03)
6,Gorkha Technical Training Center,Gorkha,40,27,General Medicine (03)
7,"Kaligandaki Technical School, Kawasoti",Nawalparasi (East),40,34,General Medicine (03)
8,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),40,40,General Medicine (03)
9,"Paschimanchal Prabidhik Shikshalay, Shuklagandaki",Tanahun,40,9,General Medicine (03)
1,Dhaulagiri Prabidhik Shikshya Pratisthan,Baglung,30,9,Medical Laboratory Technology (05)
2,"Gandaki Technical Institute, Pokhara",Kaski,30,30,Medical Laboratory Technology (05)
3,Gorkha Science and Technical Education Sahkari Limited,Gorkha,30,12,Medical Laboratory Technology (05)
4,"Kaligandaki Technical School, Kawasoti",Nawalparasi (East),30,13,Medical Laboratory Technology (05)
5,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),30,30,Medical Laboratory Technology (05)
6,"Kantipur Institute of Health Science, Pokhara",Kaski,30,30,Medical Laboratory Technology (05)
7,"Paschimanchal Prabidhik Shikshalay, Shuklagandaki",Tanahun,30,4,Medical Laboratory Technology (05)
8,"Pokhara Technical Training and Research Center, Pokhara",Kaski,30,9,Medical Laboratory Technology (05)
9,"Regional College of Health Science and Technology, Pokhara",Kaski,30,30,Medical Laboratory Technology (05)
1,"Charak Institute of Health Science, Pokhara",Kaski,40,40,Nursing (01)
2,"Fewacity Institute of Medical Science, Pokhara",Kaski,40,40,Nursing (01)
3,"Fishtail Nursing Campus, Pokhara",Kaski,40,40,Nursing (01)
4,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),40,40,Nursing (01)
1,"Charak Institute of Health Science, Pokhara",Kaski,40,40,Pharmacy (04)
2,"Gandaki Polytechnic Institute, Pokhara",Kaski,40,40,Pharmacy (04)
3,"Kantipur Institute of Health Science, Pokhara",Kaski,40,40,Pharmacy (04)
4,Waling Scholars' Foundation,Syangja,40,40,Pharmacy (04)
1,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),40,39,Physiotherapy (32)
1,"Gandaki Polytechnic Institute, Pokhara",Kaski,48,18,Automobile Engineering (25)
2,"Pokhara Technical School, Phulbari",Kaski,48,26,Automobile Engineering (25)
1,"Aalamdevi Bahuprabidhik Shikshyalaya, Mirmi",Syangja,48,11,Civil Engineering (02)
2,Aandhikhola Polytechnic Institute,Syangja,48,13,Civil Engineering (02)
3,"Bhakti Namuna Secondary School, Bhotewodar",Lamjung,48,26,Civil Engineering (02)
4,"Bishwa Shanti Secondary School, Rupa",Kaski,48,7,Civil Engineering (02)
5,Chandra Jyoti Secondary School,Tanahun,48,5,Civil Engineering (02)
6,"Gandaki Polytechnic Institute, Pokhara",Kaski,48,27,Civil Engineering (02)
7,"Gorkha Polytechnic Institute, Palungtar",Gorkha,48,11,Civil Engineering (02)
8,"Janata Secondary School, Magarkot",Nawalparasi (East),48,25,Civil Engineering (02)
9,"Kisan Polytechnic Institute, Chapakot 10",Syangja,48,31,Civil Engineering (02)
10,"Madhyanepal Polytechnic School, Sotipasal",Lamjung,48,24,Civil Engineering (02)
11,"Mahendra Darshan Secondary School, Tindobato",Syangja,48,10,Civil Engineering (02)
12,"Nirmal Secondary School, Bhadgaun",Tanahun,48,7,Civil Engineering (02)
13,Pabitra Secondary School,Tanahun,48,13,Civil Engineering (02)
14,"Pokhara Engineering College, Pokhara",Kaski,48,16,Civil Engineering (02)
15,"Poorneshwar Secondary School, Kushma-10",Parbat,48,3,Civil Engineering (02)
16,"Saraswati Secondary School, Borlang",Gorkha,48,4,Civil Engineering (02)
17,"Tribhuwan Aadarsha Secondary School, Putalibazar",Syangja,48,16,Civil Engineering (02)
1,"Gorkha Polytechnic Institute, Palungtar",Gorkha,48,1,Civil Engineering (Specialized in Hydropower) (43)
1,"Gorkha Polytechnic Institute, Palungtar",Gorkha,40,30,Civil Engineering (Specialized in Hydropower)(Special) (53)
1,Dhaulagiri Deaf Residential School,Baglung,48,32,Computer Engineering (09)
2,"Pokhara Engineering College, Pokhara",Kaski,48,9,Computer Engineering (09)
3,"Siddhartha Secondary School, Phedikhola",Syangja,48,10,Computer Engineering (09)
1,"Gorkha Polytechnic Institute, Palungtar",Gorkha,48,3,Electrical Engineering (10)
2,"Ranabir Janahit Secondary School, Waling",Syangja,48,9,Electrical Engineering (10)
1,"Gorkha Polytechnic Institute, Palungtar",Gorkha,48,15,Geomatics Engineering (15)
1,Aandhikhola Polytechnic Institute,Syangja,48,18,Information Technology (17)
2,"Kisan Polytechnic Institute, Chapakot 10",Syangja,48,20,Information Technology (17)
1,"Annapurna Polytechnic Institute, Dhikurpokhari",Kaski,40,11,Agriculture (Animal Science) (Semester) (59)
2,"Baraha Secondary School, Bhindabari",Kaski,40,15,Agriculture (Animal Science) (Semester) (59)
3,"Barchuli Secondary School, Devchuli",Nawalparasi (East),40,25,Agriculture (Animal Science) (Semester) (59)
4,"Barpak Polytechnic Institute, Saurpani",Gorkha,40,36,Agriculture (Animal Science) (Semester) (59)
5,"Dhaulagiri  Polytechnic Institute, Balewa",Baglung,40,11,Agriculture (Animal Science) (Semester) (59)
6,"Hupsekot Technical School, Jhyalbas",Nawalparasi (East),40,36,Agriculture (Animal Science) (Semester) (59)
7,"Janaganpati Secondary School, Myagde",Tanahun,40,6,Agriculture (Animal Science) (Semester) (59)
8,"Kisan Polytechnic Institute, Chapakot 10",Syangja,40,25,Agriculture (Animal Science) (Semester) (59)
9,Kisani Secondary School,Myagdi,40,32,Agriculture (Animal Science) (Semester) (59)
10,"Tribhuwan Secondary School, Manechauka",Tanahun,40,14,Agriculture (Animal Science) (Semester) (59)
1,"Adarsha Bal Secondary School, Sundarbazar",Lamjung,40,5,Agriculture (Plant Science)(Semester) (58)
2,"Annapurna Polytechnic Institute, Dhikurpokhari",Kaski,40,6,Agriculture (Plant Science)(Semester) (58)
3,"Barpak Polytechnic Institute, Saurpani",Gorkha,40,35,Agriculture (Plant Science)(Semester) (58)
4,"Dhaulagiri  Polytechnic Institute, Balewa",Baglung,40,11,Agriculture (Plant Science)(Semester) (58)
5,"Hupsekot Technical School, Jhyalbas",Nawalparasi (East),40,32,Agriculture (Plant Science)(Semester) (58)
6,"Kisan Polytechnic Institute, Chapakot 10",Syangja,40,8,Agriculture (Plant Science)(Semester) (58)
7,Kisani Secondary School,Myagdi,40,0,Agriculture (Plant Science)(Semester) (58)
8,"Namuna Technical Education Foundation, Bhachchek",Gorkha,40,6,Agriculture (Plant Science)(Semester) (58)
9,"Rainas Polytechnic Institute, Rainas",Lamjung,40,23,Agriculture (Plant Science)(Semester) (58)
10,"Shahid Smriti Community Secondary School, Kawasoti",Nawalparasi (East),40,14,Agriculture (Plant Science)(Semester) (58)
11,"Tanahun Technical School, Bhimad",Tanahun,40,6,Agriculture (Plant Science)(Semester) (58)
1,"Dhawalagiri Technical School, Lete",Mustang,40,26,Hotel Management (16)
2,"Pokhara Technical School, Phulbari",Kaski,40,39,Hotel Management (16)
